case_id,analysis_role,older_profile,older_kernel,newer_profile,newer_kernel
ringbuf-modern-libbpf,controlled_probe,almalinux-8-4.18,4.18.0-553.158.1.el8_10.x86_64,ubuntu-20.04-5.4,5.4.0-216-generic
falco-modern-bpf-scap-open,primary_real_world,almalinux-8-4.18,4.18.0-553.158.1.el8_10.x86_64,ubuntu-20.04-5.4,5.4.0-216-generic
